unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
1042,3,NA,1,NA,2,NA,NA,NA,NA,3-1-2----,2,Countries
1043,3,NA,2,6,5,NA,NA,4,1,3-265--41,1,Individuals
1044,4,NA,6,3,NA,NA,2,1,5,4-63--215,2,Countries
1045,8,7,4,NA,1,6,2,5,3,874-16253,2,Countries
1046,NA,NA,NA,1,NA,NA,3,4,2,---1--342,2,Countries
1047,4,NA,1,3,NA,2,NA,NA,NA,4-13-2---,2,Countries
1048,1,NA,2,NA,NA,NA,4,5,3,1-2---453,2,Countries
1049,NA,2,NA,NA,NA,NA,NA,3,1,-2-----31,1,Individuals
1050,3,NA,1,2,NA,NA,NA,NA,4,3-12----4,1,Individuals
1051,NA,NA,NA,3,NA,NA,NA,2,1,---3---21,2,Countries
1052,3,NA,4,NA,NA,NA,NA,2,1,3-4----21,1,Individuals
1053,1,5,8,3,4,9,2,6,7,158349267,2,Countries
1054,1,4,3,NA,5,NA,7,6,2,143-5-762,1,Individuals
1055,1,3,4,NA,NA,NA,5,NA,2,134---5-2,2,Countries
1056,1,4,2,NA,3,NA,6,NA,5,142-3-6-5,1,Individuals
1057,3,NA,2,NA,NA,NA,NA,1,NA,3-2----1-,2,Countries
1058,NA,NA,NA,1,NA,3,2,NA,NA,---1-32--,1,Individuals
1059,NA,2,NA,NA,NA,NA,NA,1,3,-2-----13,1,Individuals
1060,3,5,2,7,1,6,4,8,9,352716489,1,Individuals
1061,3,NA,4,NA,NA,NA,5,1,2,3-4---512,2,Countries
1062,2,NA,1,NA,4,NA,5,6,3,2-1-4-563,1,Individuals
1063,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,1,Individuals
1064,3,NA,1,NA,NA,NA,NA,2,NA,3-1----2-,1,Individuals
1065,5,NA,NA,3,NA,NA,2,4,1,5--3--241,2,Countries
1066,3,NA,2,1,NA,NA,NA,4,NA,3-21---4-,2,Countries
1067,NA,NA,NA,NA,1,2,NA,NA,3,----12--3,1,Individuals
1068,3,NA,4,1,NA,NA,2,NA,5,3-41--2-5,2,Countries
1069,2,NA,1,5,NA,NA,NA,4,3,2-15---43,1,Individuals
1070,3,NA,4,NA,1,NA,NA,NA,2,3-4-1---2,1,Individuals
