unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1069,4,1,2,3,4123,3,intolerant,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Less often,20,85,Democrat
1070,1,2,3,4,1234,1,non-group-related control,Republican,civil,Male,Born 1991 or later,Hispanic,College,Every day,0,0,Leaning Republican
1071,1,2,3,4,1234,2,uncivil,Independent,civil,Male,Born 1975-1990,Black,Postgraduate (e.g. Masters),At least once a week but not every day,71,41,Independent
1072,4,1,2,3,4123,4,threatening,Democrat,uncivil,Male,Born 1975-1990,White,Professional degree,At least once a week but not every day,69,74,Democrat
1073,4,2,3,1,4231,5,threatening (new),Independent,threatening,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,0,0,Independent
1074,1,2,3,4,1234,4,threatening,Republican,civil,Male,Born 1975-1990,White,College,Every day,0,0,Republican
1075,4,3,1,2,4312,0,control,Independent,intolerant,Male,Born 1943-1958,White,Postgraduate (e.g. Masters),Less often,29,34,Independent
1076,1,4,2,3,1423,3,intolerant,Republican,civil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,21,29,Leaning Republican
1077,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,White,College,Every day,2,2,Democrat
1078,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),At least once a week but not every day,72,97,Strong Democrat
1079,4,1,2,3,4123,3,intolerant,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day,62,58,Independent
1080,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day,0,0,Leaning Republican
1081,4,1,2,3,4123,4,threatening,Democrat,uncivil,Male,Born 1975-1990,White,Professional degree,Every day,100,100,Democrat
1082,4,3,2,1,4321,5,threatening (new),Republican,threatening,Male,Born 1975-1990,White,College,A few times a month,80,90,Republican
1083,4,2,1,3,4213,0,control,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day,75,85,Leaning Democrat
1084,4,1,3,2,4132,2,uncivil,Democrat,uncivil,Male,Born 1991 or later,White,College,Every day,80,100,Democrat
1085,4,2,1,3,4213,4,threatening,Democrat,intolerant,Other,Born 1991 or later,Hispanic,Professional degree,Every day,48,16,Democrat
1086,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1991 or later,Hispanic,PhD,Every day,89,100,Strong Democrat
1087,3,2,1,4,3214,0,control,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day,25,65,Democrat
1088,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Male,Born 1991 or later,Race other/multiple,College,Every day,80,92,Democrat
