unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
136,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,-2-1------3,4,1,1,2,4,4,6,2,1,2
137,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,-21-3------,1,3,1,2,2,2,2,4,2,4
138,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,--32---1---,0,NA,99,NA,99,99,99,99,99,99
139,3,NA,1,NA,NA,NA,NA,2,NA,NA,NA,3-1----2---,2,4,1,2,1,3,1,2,2,2
140,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,----1--2---,4,1,1,3,3,2,1,4,2,4
141,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,------2---1,0,3,2,2,4,4,4,3,2,3
142,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1-2-------3,4,NA,99,NA,99,99,99,99,99,99
143,NA,NA,NA,1,NA,NA,NA,2,NA,3,NA,---1---2-3-,1,4,2,NA,2,3,6,4,2,3
144,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,3,1,2,2,4,4,3,2,2,4
145,NA,NA,NA,2,3,NA,NA,1,NA,NA,NA,---23--1---,2,4,1,3,3,4,6,4,1,1
146,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,2-----3--1-,4,1,1,2,1,3,4,3,2,2
147,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,0,1,1,2,3,3,2,3,1,3
148,3,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3--1---2---,1,4,1,2,4,2,1,4,3,4
149,NA,NA,3,NA,1,NA,2,NA,NA,NA,NA,--3-1-2----,3,1,1,2,3,4,6,2,1,3
150,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,2,3,2,2,2,3,4,3,1,3
151,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,---32--1---,1,5,2,2,2,3,6,5,99,4
152,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,---1--23---,0,1,1,2,4,4,6,3,1,2
153,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,--21-------,3,6,1,2,3,2,1,1,3,4
154,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,----2-----1,4,2,2,2,3,4,3,2,99,3
155,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1-------3--,2,2,1,3,3,2,2,2,2,2
156,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1---23-----,4,1,2,2,3,2,1,3,2,4
157,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,---23----1-,0,3,1,2,1,4,2,2,1,2
158,NA,NA,NA,1,3,NA,2,NA,NA,NA,NA,---13-2----,3,3,1,2,2,4,6,3,2,3
159,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,0,NA,99,NA,99,99,99,99,99,99
160,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,---23-1----,1,5,2,2,2,3,5,2,2,3
161,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,------12--3,4,NA,99,NA,99,99,99,99,99,99
162,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,----3-12---,3,1,2,2,1,3,3,3,1,2
163,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,2,1,NA,4,2,1,1,3,2
