unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1849,4,NA,NA,NA,NA,NA,NA,4------,0,0,0,0,0,25,3,1,0,0,1,0,1,0,0,6,3
1850,5,NA,NA,NA,NA,NA,NA,5------,11,1,1,0,1,28,4,1,1,0,0,0,1,0,1,3,3
1851,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,27,3,1,1,1,0,1,1,0,0,4,4
1852,3,NA,NA,NA,NA,NA,NA,3------,12,0,0,1,1,38,5,1,0,0,0,0,1,0,0,7,3
1853,4,NA,NA,NA,NA,NA,NA,4------,10,0,1,0,1,36,3,1,0,1,0,0,1,1,0,7,3
1854,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,29,3,1,0,1,0,1,1,0,0,2,3
1855,3,NA,NA,NA,NA,NA,NA,3------,13,1,0,1,1,41,1,1,0,1,0,0,1,1,1,6,4
1856,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,41,7,1,0,1,0,1,1,0,0,9,4
1857,3,NA,NA,NA,NA,NA,NA,3------,14,0,1,1,1,40,6,1,1,1,0,0,1,0,0,8,3
1858,6,NA,NA,NA,NA,NA,NA,6------,13,1,0,1,1,38,3,1,0,1,0,0,0,0,0,5,3
1859,1,NA,NA,NA,NA,NA,NA,1------,2,0,1,0,0,40,5,1,1,1,0,0,1,1,0,5,3
1860,1,NA,NA,NA,NA,NA,NA,1------,14,0,1,1,1,37,5,1,1,1,0,0,1,0,0,8,4
1861,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,42,3,1,1,1,0,0,1,1,1,4,4
1862,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,39,6,1,0,1,0,0,1,1,0,8,4
1863,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,29,6,1,1,1,0,0,1,1,0,7,4
1864,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,55,5,1,0,1,0,0,0,0,0,7,3
1865,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,39,3,1,1,1,0,0,1,1,1,7,4
1866,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,42,3,1,1,1,0,0,1,1,1,3,4
1867,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,35,6,1,0,1,0,0,1,0,0,7,4
1868,1,NA,NA,NA,NA,NA,NA,1------,8,0,0,0,1,44,6,1,1,1,0,0,1,0,0,6,3
1869,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,37,5,1,1,1,0,0,1,0,0,4,2
1870,3,NA,NA,NA,NA,NA,NA,3------,7,1,1,1,0,39,5,1,1,1,0,1,1,0,1,2,2
1871,2,NA,NA,NA,NA,NA,NA,2------,13,1,0,1,1,40,6,1,1,1,0,0,1,1,1,5,3
1872,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,48,5,1,1,1,0,0,1,1,1,6,4
1873,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,30,5,1,1,1,0,0,1,0,1,10,4
1874,5,NA,NA,NA,NA,NA,NA,5------,15,1,1,1,1,38,2,1,0,1,0,0,0,0,0,4,3
1875,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,28,6,1,0,0,1,0,1,0,1,5,3
1876,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,42,3,1,0,1,0,0,1,1,0,4,3
1877,6,NA,NA,NA,NA,NA,NA,6------,8,0,0,0,1,28,5,1,1,1,0,0,1,0,0,6,4
1878,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,53,1,1,0,1,0,0,1,0,0,4,4
1879,4,NA,NA,NA,NA,NA,NA,4------,11,1,1,0,1,33,3,1,0,0,0,0,0,1,0,6,3
1880,1,NA,NA,NA,NA,NA,NA,1------,3,1,1,0,0,25,5,1,0,1,0,0,1,1,0,7,3
1881,2,NA,NA,NA,NA,NA,NA,2------,2,0,1,0,0,36,6,1,1,1,0,0,1,0,0,7,4
1882,6,NA,NA,NA,NA,NA,NA,6------,3,1,1,0,0,37,5,1,1,1,0,0,0,1,0,7,4
1883,4,NA,NA,NA,NA,NA,NA,4------,3,1,1,0,0,35,4,1,1,0,1,0,1,1,0,6,3
1884,4,NA,NA,NA,NA,NA,NA,4------,14,0,1,1,1,37,4,1,1,1,0,0,1,0,0,6,4
1885,3,NA,NA,NA,NA,NA,NA,3------,11,1,1,0,1,43,3,1,1,0,1,0,1,0,0,6,3
1886,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,53,4,1,1,0,0,0,0,1,0,5,3
1887,2,NA,NA,NA,NA,NA,NA,2------,12,0,0,1,1,45,5,1,1,1,0,0,1,1,1,7,4
1888,3,NA,NA,NA,NA,NA,NA,3------,2,0,1,0,0,32,3,1,1,0,1,0,0,0,0,6,4
1889,2,NA,NA,NA,NA,NA,NA,2------,9,1,0,0,1,29,3,1,1,1,0,1,1,0,1,4,3
1890,6,NA,NA,NA,NA,NA,NA,6------,12,0,0,1,1,36,6,1,0,1,0,0,1,0,0,8,4
1891,3,NA,NA,NA,NA,NA,NA,3------,7,1,1,1,0,35,2,0,0,1,0,0,1,0,0,7,2
1892,5,NA,NA,NA,NA,NA,NA,5------,2,0,1,0,0,44,5,1,0,1,0,0,1,1,0,7,3
1893,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,27,6,1,1,1,0,0,1,0,0,4,4
1894,6,NA,NA,NA,NA,NA,NA,6------,5,1,0,1,0,45,3,1,1,1,0,0,1,1,0,4,3
1895,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,29,3,1,1,1,0,1,1,0,1,4,3
1896,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,59,4,1,1,1,0,0,1,1,0,4,3
