unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
353,5,2,1,3,7,4,6,5213746,3,2,1,49,2,4,1
354,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,34,4,4,1
355,5,7,3,4,1,6,2,5734162,1,2,0,25,5,4,1
356,1,3,7,4,5,2,6,1374526,3,1,0,29,4,4,1
357,1,5,7,6,4,2,3,1576423,1,1,1,29,3,4,1
358,2,5,7,6,3,1,4,2576314,2,1,0,25,5,6,1
359,1,3,4,7,6,2,5,1347625,3,1,0,38,3,4,1
360,NA,NA,NA,NA,NA,NA,NA,-------,3,2,0,37,5,4,1
361,1,5,7,6,3,2,4,1576324,3,1,1,40,9,4,1
362,2,6,7,5,3,1,4,2675314,2,1,1,43,3,6,1
363,3,2,6,4,5,1,7,3264517,2,1,1,75,4,6,1
364,5,1,4,2,7,3,6,5142736,1,2,1,27,6,4,1
365,NA,NA,2,1,NA,NA,NA,--21---,0,1,0,44,3,4,1
366,2,5,7,6,3,1,4,2576314,3,1,1,69,4,6,1
367,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,66,9,4,1
368,2,7,1,4,5,6,3,2714563,0,2,0,32,3,4,1
369,1,5,7,6,2,3,4,1576234,2,2,1,50,4,6,1
370,2,3,7,6,4,1,5,2376415,0,1,1,61,3,6,1
371,2,5,4,3,6,1,7,2543617,2,2,1,37,6,5,1
372,5,6,2,1,4,7,3,5621473,2,2,0,26,3,4,1
373,2,4,7,3,5,1,6,2473516,2,2,0,50,8,6,1
374,2,5,7,6,3,1,4,2576314,3,2,0,25,3,5,1
375,1,3,7,4,5,2,6,1374526,3,2,0,35,7,6,1
376,1,4,7,2,6,5,3,1472653,0,2,0,60,4,5,1
377,2,6,7,5,4,1,3,2675413,1,1,1,43,5,5,1
378,2,6,7,3,4,1,5,2673415,2,1,1,72,3,6,1
379,2,6,7,3,5,1,4,2673514,1,2,1,45,3,4,1
380,NA,NA,NA,NA,NA,NA,NA,-------,0,2,0,25,6,5,1
381,7,1,2,3,5,4,6,7123546,2,1,1,43,6,6,1
382,3,2,6,4,7,1,5,3264715,3,2,1,31,3,4,1
383,3,1,5,2,7,4,6,3152746,3,2,1,26,4,4,1
384,4,6,3,1,7,5,2,4631752,2,1,1,39,3,4,1
385,3,4,1,2,6,7,5,3412675,0,2,0,44,3,5,1
386,1,2,4,5,6,3,7,1245637,3,1,0,55,7,5,1
387,6,4,1,5,7,2,3,6415723,2,1,0,42,3,4,1
388,2,3,7,4,6,1,5,2374615,1,2,1,28,4,4,1
389,4,1,3,6,5,2,7,4136527,1,1,1,23,6,3,1
390,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,51,4,5,1
391,2,3,5,4,6,1,7,2354617,3,1,0,43,6,6,1
392,3,1,2,5,4,7,6,3125476,3,2,1,22,6,4,1
393,NA,NA,NA,NA,NA,NA,NA,-------,2,1,0,26,3,6,1
394,3,5,1,4,6,2,7,3514627,0,1,0,30,4,2,1
395,2,1,7,6,5,3,4,2176534,3,2,0,36,3,4,1
396,6,2,7,3,5,1,4,6273514,0,2,0,42,3,4,1
397,2,4,7,5,3,1,6,2475316,2,2,0,74,4,7,1
