unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohafaza,caza,q5,q6,q7,q8,q9,q10,q11,q13,q14a,q14b,q15b,q16,q17,q18,q19a,q19b,q19c,q19d,q21,q22,q23a,q23b,q23c,q23d,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38a,q38b,q38c,q38d,q39a,q39b,q39c,q39d,q40,q41,q42,q43
1149,NA,1,NA,NA,NA,NA,-1----,2,3,10,0,28,2,12,4,3,1,11,7,2016,1,1,5,1,3,3,4,4,4,5,2,2,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
1150,NA,1,NA,NA,NA,NA,-1----,1,3,10,1,39,3,5,3,4,1,5,8,2013,1,1,5,3,4,4,4,4,4,5,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,-99,NA,NA,NA,NA
1151,NA,1,NA,NA,NA,NA,-1----,1,3,10,0,20,4,8,4,4,1,4,8,2013,1,1,5,3,4,4,4,4,4,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,-99,NA,NA,NA,NA
1152,NA,NA,NA,NA,NA,NA,------,3,3,10,0,27,1,6,3,6,1,7,9,2015,1,1,5,1,3,3,4,4,4,5,2,2,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
1153,NA,1,NA,NA,NA,NA,-1----,1,3,10,1,36,2,10,2,5,1,11,2,2013,1,1,5,1,1,1,4,4,4,5,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,0,0,1,1,1,-99,NA,NA,NA,NA
1154,NA,1,NA,NA,NA,2,-1---2,3,3,10,1,21,3,10,3,6,2,10,5,2013,1,1,5,4,3,3,4,4,4,5,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
1155,NA,1,NA,NA,NA,2,-1---2,1,3,10,0,20,2,6,4,7,2,6,4,2014,1,1,5,2,3,-98,4,4,4,3,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
1156,NA,1,NA,NA,3,2,-1--32,2,3,10,1,24,2,6,1,7,1,6,10,2014,1,1,5,1,-98,-98,4,4,4,-98,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1157,NA,2,NA,NA,1,NA,-2--1-,2,3,10,1,33,3,6,2,5,2,11,8,2011,3,1,1,1,1,1,-98,3,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
1158,NA,1,NA,NA,NA,2,-1---2,0,3,10,1,27,3,3,3,5,1,6,1,2012,1,1,5,4,3,2,3,4,2,3,-98,-98,-98,2,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
