unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
54,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
55,1,NA,NA,NA,1---,0,35,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
56,1,NA,NA,NA,1---,1,70,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
57,1,NA,NA,NA,1---,1,20,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
58,2,NA,NA,NA,2---,0,19,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"0-2,499",1,0,0
59,1,NA,NA,NA,1---,1,30,0,1,0,0,female,1,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
60,2,NA,NA,NA,2---,1,27,1,0,0,0,male,0,Class 9,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
61,1,NA,NA,NA,1---,0,45,0,1,0,1,male,0,Some college,1,0,0,1,0,1,0,0,0,1,NA,0,0,1
62,1,NA,NA,NA,1---,1,44,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
63,1,NA,NA,NA,1---,0,39,0,1,0,1,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"0-2,499",1,0,0
64,4,NA,NA,NA,4---,1,30,0,1,0,0,female,1,Class 1,0,0,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
65,2,NA,NA,NA,2---,0,38,0,1,0,1,male,0,Class 5,0,0,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
66,1,NA,NA,NA,1---,1,24,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
67,1,NA,NA,NA,1---,1,65,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
68,1,NA,NA,NA,1---,0,51,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
69,4,NA,NA,NA,4---,0,55,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
70,3,NA,NA,NA,3---,0,23,1,0,0,0,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"0-2,499",1,0,0
71,1,NA,NA,NA,1---,1,22,1,0,0,0,male,0,Class 7,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
72,1,NA,NA,NA,1---,1,28,0,1,0,0,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
73,1,NA,NA,NA,1---,1,25,1,0,0,0,male,0,Class 9,0,0,1,0,0,1,0,0,0,1,"0-2,499",1,0,0
74,2,NA,NA,NA,2---,1,56,0,0,1,1,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"10,000-14,999",0,1,0
75,1,NA,NA,NA,1---,0,46,0,1,0,1,female,1,Class 5,0,0,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
76,1,NA,NA,NA,1---,1,48,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
77,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"20,000-29,999",0,0,1
78,1,NA,NA,NA,1---,1,20,1,0,0,0,male,0,Class 9,0,0,1,0,0,1,0,0,0,0,"0-2,499",1,0,0
79,1,NA,NA,NA,1---,1,30,0,1,0,0,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
80,1,NA,NA,NA,1---,0,37,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
81,4,NA,NA,NA,4---,0,70,0,0,1,1,female,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,0,0,1
82,1,NA,NA,NA,1---,1,40,0,1,0,1,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
83,1,NA,NA,NA,1---,0,22,1,0,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
