unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
124,1,7,6,3,5,4,2,1763542,0,sacramento,2,2,2,3,0
125,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
126,3,7,6,4,5,2,1,3764521,0,los angeles,2,2,4,4,0
127,1,6,5,2,4,7,3,1652473,1,riverside,2,2,1,2,0
128,7,6,4,2,5,1,3,7642513,1,los angeles,3,3,4,1,0
129,7,4,3,1,5,6,2,7431562,0,riverside,NA,NA,NA,NA,NA
130,7,6,5,3,4,2,1,7653421,1,sacramento,2,4,3,4,0
131,NA,NA,NA,NA,NA,NA,NA,-------,1,los angeles,NA,NA,NA,NA,NA
132,2,7,6,5,4,3,1,2765431,0,sacramento,2,1,2,3,0
133,6,7,5,3,4,1,2,6753412,1,sacramento,3,1,4,5,0
134,5,7,6,3,4,2,1,5763421,0,riverside,2,2,3,3,0
135,6,7,5,4,1,3,2,6754132,1,orange,NA,NA,NA,NA,NA
136,2,7,6,4,5,3,1,2764531,1,sacramento,NA,NA,NA,NA,NA
137,6,5,7,2,1,3,4,6572134,1,sacramento,3,4,5,3,1
138,4,7,6,1,5,3,2,4761532,1,los angeles,1,1,7,3,0
139,1,7,6,5,3,4,2,1765342,1,riverside,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,NA,NA,-------,1,orange,NA,NA,NA,NA,NA
141,7,6,5,3,4,2,1,7653421,1,sacramento,3,1,4,2,1
142,7,6,5,3,4,2,1,7653421,1,orange,2,3,2,5,0
143,1,7,6,4,5,3,2,1764532,1,sacramento,2,1,3,4,0
144,1,7,5,2,6,4,3,1752643,1,sacramento,4,1,NA,2,0
145,6,7,5,3,2,4,1,6753241,1,orange,2,1,3,2,0
146,6,4,1,2,3,7,5,6412375,1,orange,1,4,6,4,1
147,1,7,6,3,5,4,2,1763542,0,sacramento,3,1,2,2,0
148,7,6,5,3,2,4,1,7653241,1,sacramento,2,1,3,3,0
149,3,1,4,7,5,2,6,3147526,0,riverside,1,1,1,5,1
150,7,2,1,3,4,6,5,7213465,1,sacramento,3,1,NA,3,0
